Course_Department,Course_Code,Year,course_type
CSC,369,4,Elective
BCB,420,4,BSc Requirement 
CSB,352,4,Elective 
BCB,430,4,BSc Requirement
CSC,301,4,BSc Requirement
CSC,311,4,Elective
BCB,410,4,BSc Requirement
CSB,471,4,Elective
MGY,441,4,BSc Requirement 
BCB,330,3,BSc Requirement
ITA,350,3,Elective
BCH,311,3,BSc Requirement
BIO,230,3,BSc Requirement
CSC,373,3,BSc Requirement
CSC,258,3,BSc Requirement
CSC,263,3,BSc Requirement
MAT,223,3,Elective
BCH,210,2,BSc Requirement
CSC,236,2,BSc Requirement
HMB,265,2,BSc Requirement
ITA,250,2,Elective
CHM,135,2,BSc Requirement
CHM,136,2,BSc Requirement
CSC,165,2,BSc Requirement
CSC,207,2,BSc Requirement
CSC,209,2,BSc Requirement
STA,237,2,BSc Requirement
CSC,343,2,Elective
ITA,100,1,Elective
BIO,120,1,BSc Requirement
BIO,130,1,BSc Requirement
CSC,108,1,BSc Requirement
CSC,148,1,BSc Requirement
MAT,135,1,BSc Requirement
MAT,136,1,BSc Requirement
ENV,100,1,Elective
PSY,100,1,Elective

